IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.186.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,10.36
8.210.3.24,2086,2086,false,HKG,Asia Pacific,Hong Kong,76,10.36
47.243.173.187,80,80,false,HKG,Asia Pacific,Hong Kong,67,10.24
47.243.51.171,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,10.11
8.218.11.90,8880,8880,false,HKG,Asia Pacific,Hong Kong,108,10.09
47.242.59.216,2096,2096,true,HKG,Asia Pacific,Hong Kong,77,10.05
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,76,10.04
47.242.36.78,2095,2095,false,HKG,Asia Pacific,Hong Kong,90,10.00
47.243.206.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,121,9.95
8.210.175.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,115,9.94
8.210.85.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,9.91
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,101,9.83
8.218.188.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,65,9.83
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,9.72
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,97,9.62
8.217.164.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,66,9.61
8.218.146.204,2082,2082,false,HKG,Asia Pacific,Hong Kong,85,9.57
8.217.239.116,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,9.23
8.210.175.109,2083,2083,true,HKG,Asia Pacific,Hong Kong,119,9.09
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,55,8.94
47.76.26.26,2087,2087,true,HKG,Asia Pacific,Hong Kong,84,8.89
8.218.211.17,8880,8880,false,HKG,Asia Pacific,Hong Kong,75,8.83
8.217.232.246,80,80,false,HKG,Asia Pacific,Hong Kong,74,8.73
47.242.79.71,80,80,false,HKG,Asia Pacific,Hong Kong,97,8.70
8.218.143.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,8.66
47.242.174.27,2082,2082,false,HKG,Asia Pacific,Hong Kong,98,8.57
47.76.221.85,443,443,true,HKG,Asia Pacific,Hong Kong,120,8.53
47.242.79.71,2052,2052,false,HKG,Asia Pacific,Hong Kong,98,8.39
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,55,8.37
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,8.34
8.210.9.129,2052,2052,false,HKG,Asia Pacific,Hong Kong,65,8.22
47.242.17.250,2086,2086,false,HKG,Asia Pacific,Hong Kong,79,8.21
8.217.250.5,80,80,false,HKG,Asia Pacific,Hong Kong,45,8.21
47.242.202.230,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,8.19
47.76.225.255,80,80,false,HKG,Asia Pacific,Hong Kong,105,8.19
47.242.234.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,99,8.16
8.217.147.230,80,80,false,HKG,Asia Pacific,Hong Kong,92,8.09
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,7.93
47.243.74.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,7.89
8.218.74.119,8880,8880,false,HKG,Asia Pacific,Hong Kong,68,7.87
47.243.42.219,2082,2082,false,HKG,Asia Pacific,Hong Kong,104,7.79
47.243.234.9,2052,2052,false,HKG,Asia Pacific,Hong Kong,47,7.72
8.218.74.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,101,7.62
8.217.164.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,97,7.59
47.76.26.26,2095,2095,false,HKG,Asia Pacific,Hong Kong,82,7.53
